customer_id,estimated_salary,balance,age,credit_score,country*balance,products_number,gender,cluster
15634602,101348.88,0.0,42,619,0.0,1,0.0,3
15619304,113931.57,159660.8,42,502,0.0,3,0.0,0
15574012,149756.71,113755.78,44,645,113755.78,2,1.0,1
15656148,119346.88,115046.74,29,376,230093.48,4,0.0,0
15737452,5097.67,132602.88,58,653,265205.76,1,1.0,1
15699309,118913.53,0.0,38,510,0.0,1,0.0,3
15589475,140469.38,0.0,39,591,0.0,3,0.0,0
15794171,27822.99,134264.04,45,475,0.0,1,0.0,2
15738148,181297.65,122522.32,51,465,0.0,1,0.0,2
15755196,194365.76,131394.56,49,834,0.0,1,0.0,2
15602280,119708.21,112045.67,27,829,224091.34,1,0.0,2
15771573,117622.8,137843.8,39,637,275687.6,1,0.0,2
15702298,164040.94,125561.97,41,655,251123.94,1,1.0,1
15569590,40014.76,98495.72,42,601,196991.44,1,1.0,1
15623944,1643.11,0.0,66,511,0.0,1,0.0,3
15703793,28373.86,133745.44,58,738,267490.88,4,1.0,0
15663706,136458.19,0.0,32,777,0.0,1,0.0,3
15762418,128643.35,121681.82,22,750,121681.82,1,1.0,1
15622897,93251.42,0.0,46,646,0.0,3,0.0,0
15757535,174205.22,0.0,44,647,0.0,3,0.0,0
15804919,177655.68,0.0,65,670,0.0,1,0.0,3
15613854,30984.59,107073.27,46,622,107073.27,2,0.0,2
15744689,99449.86,92833.89,35,479,185667.78,1,1.0,1
15609618,101300.94,154475.54,28,721,308951.08,2,1.0,1
15661670,199725.39,107818.63,31,524,215637.26,1,0.0,2
15627360,110265.24,152603.45,42,432,0.0,1,1.0,1
15671137,8636.05,0.0,52,549,0.0,1,0.0,3
15782688,46824.08,148507.24,56,625,297014.48,1,1.0,1
15594408,75161.25,213146.2,48,584,213146.2,1,0.0,2
15640905,8590.83,129490.36,35,579,129490.36,2,0.0,2
15713483,159123.82,0.0,52,793,0.0,1,1.0,3
15612350,126213.84,40915.55,31,691,0.0,1,0.0,3
15759618,149892.79,0.0,48,535,0.0,1,0.0,3
15679145,17941.16,0.0,57,706,0.0,1,1.0,3
15658929,55582.54,133702.89,29,683,133702.89,1,1.0,1
15724623,162503.48,113034.22,24,704,226068.44,1,0.0,2
15574692,40721.24,0.0,39,667,0.0,2,0.0,3
15651022,5472.7,129608.57,44,480,259217.14,1,1.0,1
15625426,8080.85,161608.81,55,754,323217.62,1,0.0,2
15719377,8546.87,0.0,50,804,0.0,1,0.0,3
15726931,92982.61,56214.85,41,715,0.0,2,0.0,3
15600974,146145.93,0.0,50,516,0.0,1,1.0,3
15727868,14374.86,129022.06,38,711,0.0,2,0.0,2
15755262,199304.74,89763.84,41,608,89763.84,1,0.0,2
15684181,142513.5,0.0,45,643,0.0,1,1.0,3
15723488,157959.02,106854.21,47,668,213708.42,1,1.0,1
15659366,34888.04,105799.32,43,807,0.0,2,1.0,1
15774854,28737.71,0.0,54,592,0.0,1,1.0,3
15733247,4861.72,0.0,33,850,0.0,1,1.0,3
15568748,108872.45,99564.22,45,671,199128.44,1,1.0,1
15676895,85746.52,74596.15,39,547,149192.3,3,0.0,0
15637753,77206.25,96888.39,50,751,193776.78,1,1.0,1
15772896,33462.94,100160.75,42,763,200321.5,1,1.0,1
15764866,55803.96,116220.5,43,539,232441.0,3,0.0,0
15794056,89048.46,0.0,46,668,0.0,3,0.0,0
15596175,45071.09,117411.6,67,659,234823.2,1,1.0,1
15797219,131953.23,123497.58,40,635,0.0,1,0.0,2
15772423,134420.75,126418.14,54,739,252836.28,1,1.0,1
15717398,81259.25,0.0,39,549,0.0,1,0.0,3
15619955,48559.19,100337.96,34,733,200675.92,3,1.0,0
15694456,11199.04,0.0,62,756,0.0,1,1.0,3
15782210,152167.79,0.0,46,714,0.0,1,1.0,3
15643024,47251.79,138718.92,35,479,277437.84,1,1.0,1
15590241,150401.53,112822.26,34,750,112822.26,1,0.0,2
15684173,155853.52,0.0,44,687,0.0,3,0.0,0
15594898,170034.95,0.0,43,731,0.0,1,1.0,3
15773972,127166.49,137104.47,50,614,0.0,1,1.0,1
15662736,120540.83,147069.78,49,559,0.0,1,1.0,1
15694408,182855.42,139290.41,40,749,0.0,1,1.0,1
15736008,108761.05,95441.27,46,644,0.0,1,0.0,2
15728669,177772.03,112013.81,30,584,224027.62,1,0.0,2
15697441,116828.51,182123.79,29,485,0.0,1,1.0,1
15636624,14109.85,165272.13,39,805,165272.13,1,0.0,2
15807923,43527.4,115301.31,39,716,230602.62,1,0.0,2
15745844,86099.23,129502.49,40,642,259004.98,2,0.0,2
15661629,174248.52,126436.29,34,522,126436.29,1,1.0,1
15696674,2319.96,150842.93,45,643,301685.86,1,0.0,2
15583456,122381.02,117231.63,45,745,234463.26,3,1.0,0
15629677,188150.6,0.0,39,687,0.0,3,0.0,0
15573456,77405.95,127209.0,46,648,127209.0,2,1.0,1
15684548,417.41,0.0,38,556,0.0,2,1.0,3
15646372,183840.51,135842.41,66,616,0.0,1,0.0,2
15578045,173779.25,141434.04,49,538,141434.04,1,0.0,2
15801559,187929.43,181461.48,41,693,362922.96,3,0.0,0
15720559,11384.45,110368.03,61,487,220736.06,1,0.0,2
15810418,93524.19,115924.89,60,756,231849.78,1,0.0,2
15674551,8128.32,111756.5,40,535,223513.0,1,1.0,1
15806467,134600.94,99282.63,40,568,198565.26,1,1.0,1
15597602,72467.99,137946.39,57,619,275892.78,1,1.0,1
15595039,136050.44,114754.08,37,545,229508.16,1,0.0,2
15787470,145704.19,116528.15,47,553,116528.15,1,1.0,1
15694860,138777.0,68065.8,38,675,0.0,1,0.0,3
15707362,199273.98,95556.31,43,514,191112.62,1,1.0,1
15773792,48725.68,133950.37,32,662,0.0,1,0.0,2
15593782,71905.77,130878.75,38,816,261757.5,3,0.0,0
15683625,20629.4,149762.08,37,703,0.0,1,1.0,1
15591986,34580.8,141078.37,46,621,282156.74,1,1.0,1
15676519,150227.85,0.0,61,615,0.0,2,1.0,3
15613772,14353.43,135096.77,39,542,0.0,1,1.0,1
15725679,194998.34,0.0,47,531,0.0,1,0.0,3
15585865,134901.34,170061.92,38,673,0.0,2,0.0,2
15677020,116503.92,0.0,58,570,0.0,1,0.0,3
15714485,74135.48,85891.55,60,774,0.0,1,1.0,1
15682048,67110.59,136188.78,51,605,0.0,1,0.0,2
15752081,62256.87,0.0,56,468,0.0,3,0.0,0
15775912,177815.87,101238.24,48,698,0.0,2,1.0,1
15671256,188574.12,211774.31,35,850,0.0,1,0.0,2
15653849,38411.79,152827.99,48,572,305655.98,1,0.0,2
15776780,70649.64,0.0,59,608,0.0,1,1.0,3
15794142,18260.98,114931.35,62,564,229862.7,3,0.0,0
15762729,73275.96,111071.36,28,745,222142.72,1,0.0,2
15705953,109078.35,169312.13,51,721,169312.13,1,1.0,1
15802593,87822.14,0.0,49,504,0.0,3,0.0,0
15657284,2079.2,106901.94,47,674,213803.88,1,1.0,1
15775318,191932.27,154962.99,51,590,154962.99,3,0.0,0
15634844,191468.78,91536.93,41,598,183073.86,1,1.0,1
15665956,71244.59,0.0,46,509,0.0,1,0.0,3
15651674,191763.07,0.0,54,438,0.0,1,0.0,3
15730076,67740.08,0.0,45,651,0.0,1,1.0,3
15607312,159835.78,0.0,49,648,0.0,2,0.0,3
15737741,109291.39,108431.87,33,607,108431.87,2,0.0,2
15803689,54954.51,119741.77,51,647,239483.54,2,0.0,2
15718057,179614.8,100946.71,51,760,0.0,1,0.0,2
15722010,35588.07,170491.84,53,621,170491.84,1,1.0,1
15591047,147278.43,157296.02,47,519,157296.02,2,0.0,2
15788291,56594.36,144606.22,38,713,289212.44,1,0.0,2
15637476,9221.78,162448.69,57,683,324897.38,1,0.0,2
15683503,110916.15,0.0,43,601,0.0,3,0.0,0
15592387,54926.51,0.0,30,566,0.0,1,1.0,3
15745295,121751.04,0.0,31,727,0.0,1,0.0,3
15766575,193437.89,140745.33,62,612,281490.66,1,0.0,2
15712403,61108.56,0.0,61,589,0.0,1,0.0,3
15811762,57553.98,115988.86,54,583,231977.72,1,0.0,2
15738181,50129.87,67996.23,31,850,0.0,2,1.0,1
15784844,156618.38,116060.08,48,752,116060.08,1,1.0,1
15640078,173683.0,135134.99,39,660,270269.98,1,0.0,2
15698786,27046.46,133102.92,39,819,0.0,1,0.0,2
15569807,20598.59,42157.08,34,673,0.0,1,0.0,3
15664610,19287.06,133994.52,48,459,267989.04,1,1.0,1
15715142,147802.94,102703.62,45,739,205407.24,1,1.0,1
15600337,29358.57,178820.91,42,661,178820.91,1,1.0,1
15579334,124118.71,126674.81,45,769,253349.62,1,0.0,2
15802741,38867.46,136294.97,51,625,0.0,1,0.0,2
15727299,76569.64,64119.38,62,445,64119.38,1,1.0,1
15620204,120657.32,106138.33,57,543,212276.66,2,0.0,2
15580148,20451.99,168286.81,40,750,336573.62,3,1.0,0
15807609,16649.31,86605.5,25,650,86605.5,3,0.0,0
15721658,150694.42,209767.31,56,672,209767.31,2,0.0,2
15578761,177683.02,129634.25,42,459,129634.25,2,0.0,2
15612525,131372.38,0.0,57,499,0.0,1,0.0,3
15744607,64166.7,121152.05,43,738,242304.1,2,1.0,1
15612966,176924.21,128981.07,60,545,257962.14,1,0.0,2
15641675,161435.02,88915.37,49,611,0.0,3,0.0,0
15582741,88705.14,124151.09,35,693,0.0,1,0.0,2
15637876,35817.97,77253.5,36,663,154507.0,1,0.0,2
15672056,157908.19,140080.32,43,710,280160.64,3,1.0,0
15677921,157552.08,115920.62,60,720,231841.24,2,1.0,1
15685329,24506.95,114715.71,63,531,0.0,1,0.0,2
15584091,47271.61,129748.54,36,742,259497.08,2,0.0,2
15789158,158887.09,113599.74,49,636,227199.48,2,1.0,1
15712551,120415.61,116922.25,58,622,233844.5,1,0.0,2
15628936,16064.25,118945.09,28,692,118945.09,1,1.0,1
15571221,190696.35,116313.57,58,747,232627.14,1,1.0,1
15756026,14679.81,0.0,46,790,0.0,1,0.0,3
15775306,89017.38,122384.22,28,421,244768.44,3,1.0,0
15806438,103516.08,123331.36,42,580,246662.72,1,0.0,2
15757811,110932.24,137453.43,69,732,137453.43,1,0.0,2
15585888,30730.95,0.0,48,553,0.0,1,0.0,3
15707567,91936.1,145338.76,50,732,290677.52,1,1.0,1
15672012,28266.9,0.0,41,773,0.0,1,0.0,3
15794048,113316.77,97133.92,48,667,194267.84,2,0.0,2
15693864,93953.84,134956.02,49,567,269912.04,1,0.0,2
15809087,195635.3,0.0,64,598,0.0,2,1.0,3
15807663,97508.04,190227.46,43,667,0.0,1,1.0,1
15809100,188083.77,172448.77,32,548,0.0,1,0.0,2
15756804,110510.28,170833.46,48,636,0.0,1,0.0,2
15646810,108488.33,108122.39,44,603,216244.78,2,1.0,1
